OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.263	urn:cts:greekLit:tlg0012.tlg001.msA:2.498
urn:cite:hmt:venAsign.264	urn:cts:greekLit:tlg0012.tlg001.msA:2.500
urn:cite:hmt:venAsign.265	urn:cts:greekLit:tlg0012.tlg001.msA:2.502
urn:cite:hmt:venAsign.266	urn:cts:greekLit:tlg0012.tlg001.msA:2.507
urn:cite:hmt:venAsign.267	urn:cts:greekLit:tlg0012.tlg001.msA:2.511
urn:cite:hmt:venAsign.268	urn:cts:greekLit:tlg0012.tlg001.msA:2.517
urn:cite:hmt:venAsign.269	urn:cts:greekLit:tlg0012.tlg001.msA:2.520
urn:cite:hmt:venAsign.270	urn:cts:greekLit:tlg0012.tlg001.msA:2.527
urn:cite:hmt:venAsign.271	urn:cts:greekLit:tlg0012.tlg001.msA:2.528
urn:cite:hmt:venAsign.272	urn:cts:greekLit:tlg0012.tlg001.msA:2.529
urn:cite:hmt:venAsign.273	urn:cts:greekLit:tlg0012.tlg001.msA:2.530
urn:cite:hmt:venAsign.274	urn:cts:greekLit:tlg0012.tlg001.msA:2.532
urn:cite:hmt:venAsign.275	urn:cts:greekLit:tlg0012.tlg001.msA:2.547
urn:cite:hmt:venAsign.276	urn:cts:greekLit:tlg0012.tlg001.msA:2.553
urn:cite:hmt:venAsign.277	urn:cts:greekLit:tlg0012.tlg001.msA:2.570
urn:cite:hmt:venAsign.278	urn:cts:greekLit:tlg0012.tlg001.msA:2.571
urn:cite:hmt:venAsign.279	urn:cts:greekLit:tlg0012.tlg001.msA:2.579
urn:cite:hmt:venAsign.280	urn:cts:greekLit:tlg0012.tlg001.msA:2.580
urn:cite:hmt:venAsign.281	urn:cts:greekLit:tlg0012.tlg001.msA:2.581
urn:cite:hmt:venAsign.282	urn:cts:greekLit:tlg0012.tlg001.msA:2.582
urn:cite:hmt:venAsign.283	urn:cts:greekLit:tlg0012.tlg001.msA:2.590
urn:cite:hmt:venAsign.284	urn:cts:greekLit:tlg0012.tlg001.msA:2.592
urn:cite:hmt:venAsign.285	urn:cts:greekLit:tlg0012.tlg001.msA:2.596
urn:cite:hmt:venAsign.286	urn:cts:greekLit:tlg0012.tlg001.msA:2.597
urn:cite:hmt:venAsign.287	urn:cts:greekLit:tlg0012.tlg001.msA:2.599
urn:cite:hmt:venAsign.288	urn:cts:greekLit:tlg0012.tlg001.msA:2.603
urn:cite:hmt:venAsign.289	urn:cts:greekLit:tlg0012.tlg001.msA:2.605
urn:cite:hmt:venAsign.290	urn:cts:greekLit:tlg0012.tlg001.msA:2.612
urn:cite:hmt:venAsign.291	urn:cts:greekLit:tlg0012.tlg001.msA:2.613
urn:cite:hmt:venAsign.292	urn:cts:greekLit:tlg0012.tlg001.msA:2.614
urn:cite:hmt:venAsign.293	urn:cts:greekLit:tlg0012.tlg001.msA:2.616
urn:cite:hmt:venAsign.294	urn:cts:greekLit:tlg0012.tlg001.msA:2.621
urn:cite:hmt:venAsign.295	urn:cts:greekLit:tlg0012.tlg001.msA:2.625
urn:cite:hmt:venAsign.296	urn:cts:greekLit:tlg0012.tlg001.msA:2.626
urn:cite:hmt:venAsign.297	urn:cts:greekLit:tlg0012.tlg001.msA:2.629
urn:cite:hmt:venAsign.298	urn:cts:greekLit:tlg0012.tlg001.msA:2.631
urn:cite:hmt:venAsign.299	urn:cts:greekLit:tlg0012.tlg001.msA:2.634
urn:cite:hmt:venAsign.300	urn:cts:greekLit:tlg0012.tlg001.msA:2.641
urn:cite:hmt:venAsign.301	urn:cts:greekLit:tlg0012.tlg001.msA:2.642
